State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Anantapur,Hindupur,"Dry Chillies",Local,FAQ,25/04/2025,7500,13000,13000
"Andhra Pradesh",Chittor,Palamaner,"Cluster beans","Cluster Beans",FAQ,25/04/2025,3500,5500,4500
"Andhra Pradesh",Guntur,Guntur,"Dry Chillies","Red New",FAQ,25/04/2025,9800,13800,13300
"Andhra Pradesh",Kurnool,Kurnool,"Castor Seed",Other,FAQ,25/04/2025,5700,5930,5780
"Andhra Pradesh",Kurnool,Kurnool,Sunflower,Bold,Non-FAQ,25/04/2025,4909,4909,4909
"Andhra Pradesh",Kurnool,Nandyal,Jowar(Sorghum),"Jowar (Yellow)",FAQ,25/04/2025,3371,3371,3371
"Andhra Pradesh","West Godavari",Denduluru,Lime,Lime,Medium,25/04/2025,2600,11200,8000
Assam,Barpeta,"Barpeta Road","Bottle gourd","Bottle Gourd",Local,25/04/2025,1133.39,1200.06,1200.06
Assam,Cachar,Sonabarighat,Pumpkin,Pumpkin,Local,25/04/2025,1000,1200,1000
Assam,Darrang,Banglagarh,"Bottle gourd","Bottle Gourd",Local,25/04/2025,1000.05,1200.06,1000.05
Assam,Darrang,Banglagarh,Brinjal,Brinjal,Local,25/04/2025,1400,1800,1500
Assam,Darrang,Banglagarh,Capsicum,Capsicum,Local,25/04/2025,600,800,600
Assam,Dhubri,Chapar,Cabbage,Cabbage,Local,25/04/2025,700,800,700
Assam,Dhubri,Chapar,Tomato,Tomato,Local,25/04/2025,1000,1200,1000
Assam,Kamrup,Pamohi(Garchuk),"Bottle gourd","Bottle Gourd",Local,25/04/2025,1066.72,1333.4,1200.06
Assam,"Karbi Anglong",Manja,Ginger(Green),"Green Ginger",Local,25/04/2025,4500,5000,4800
Assam,"Karbi Anglong",Manja,Tomato,Tomato,Local,25/04/2025,1000,1200,1000
Assam,Kokrajhar,"Balajan Tiniali",Cauliflower,Cauliflower,Local,25/04/2025,1200,1500,1500
Assam,Kokrajhar,"Balajan Tiniali",Pumpkin,Pumpkin,Local,25/04/2025,1000,1100,1000
Assam,MORIGAON,"Jagiroad Dry Fish Market","Green Chilli","Green Chilly",Local,25/04/2025,2400,2600,2500
Assam,MORIGAON,"Jagiroad Dry Fish Market",Lemon,Lemon,Local,25/04/2025,1867.6,2134.4,2001
Assam,Nalbari,Nalbari,Banana,Other,Local,25/04/2025,2200,5000,4500
